84 Event 5239, Run 975, Split 0: Ecm = 3.25, Z = 284.29: E
85 Event 113052, Run 981, Split 4: Ecm = 3.26, Z = 235.35: B
86 Event 11191, Run 964, Split 2: Ecm = 3.28, Z = 335.47: B
87 Event 4720, Run 978, Split 0: Ecm = 3.29, Z = 300.85: B
88 Event 86171, Run 988, Split 4: Ecm = 3.29, Z = 345.23: B
89 Event 22624, Run 986, Split 4: Ecm = 3.29, Z = 319.06: B
90 Event 114224, Run 953, Split 19: Ecm = 3.30, Z = 298.45: E
91 Event 10262, Run 963, Split 1: Ecm = 3.30, Z = 240.62: E
92 Event 19176, Run 978, Split 3: Ecm = 3.30, Z = 213.26: E
93 Event 7842, Run 986, Split 1: Ecm = 3.31, Z = 329.82: A
94 Event 11866, Run 978, Split 2: Ecm = 3.33, Z = 242.27: A
95 Event 81960, Run 980, Split 5: Ecm = 3.33, Z = 270.61: B
96 Event 74936, Run 980, Split 3: Ecm = 3.33, Z = 321.10: B
97 Event 72298, Run 988, Split 2: Ecm = 3.35, Z = 281.25: E
98 Event 20377, Run 986, Split 3: Ecm = 3.35, Z = 264.88: E
99 Event 34266, Run 979, Split 1: Ecm = 3.42, Z = 225.40: E
100 Event 123884, Run 989, Split 5: Ecm = 3.44, Z = 300.72: B
101 Event 131, Run 978, Split 0: Ecm = 3.46, Z = 217.11: E
102 Event 29222, Run 986, Split 5: Ecm = 3.46, Z = 321.70: B
103 Event 32395, Run 986, Split 5: Ecm = 3.48, Z = 280.37: B
104 Event 15392, Run 986, Split 2: Ecm = 3.48, Z = 313.09: B
105 Event 161079, Run 954, Split 8, Ecm = 2.86, Z = 363.53: B
106 Event 1948, Run 973, Split 0, Ecm = 3.46, Z = 378.49: B
0 Event 8574, Run 978, Split 1: Ecm = 4.73, Z = 347.80: B
1 Event 2029, Run 963, Split 0: Ecm = 5.16, Z = 343.62: B
2 Event 94364, Run 981, Split 1: Ecm = 5.38, Z = 343.06: B
3 Event 79421, Run 980, Split 4: Ecm = 3.74, Z = 338.17: B
4 Event 4349, Run 986, Split 0: Ecm = 4.71, Z = 334.20: B
5 Event 9095, Run 978, Split 1: Ecm = 4.21, Z = 323.86: B
6 Event 89859, Run 988, Split 5: Ecm = 3.58, Z = 323.56: B
7 Event 3864, Run 986, Split 0: Ecm = 5.03, Z = 321.68: B
8 Event 40324, Run 987, Split 1: Ecm = 3.99, Z = 321.14: B
9 Event 66276, Run 980, Split 2: Ecm = 4.37, Z = 316.31: B
10 Event 231725, Run 955, Split 7: Ecm = 3.87, Z = 314.97: B
11 Event 884, Run 964, Split 0: Ecm = 5.10, Z = 314.09: B
12 Event 55123, Run 979, Split 5: Ecm = 4.09, Z = 313.87: B
13 Event 157959, Run 954, Split 7: Ecm = 4.05, Z = 312.83: E
14 Event 9931, Run 986, Split 1: Ecm = 6.80, Z = 311.03: E
15 Event 2214, Run 968, Split 0: Ecm = 4.06, Z = 310.61: E
16 Event 47176, Run 979, Split 3: Ecm = 4.12, Z = 308.00: B
