12	9	32.5	57.5	
12	10	31.5	53.5	
12	11	28.5	50.5	
12	12	27.5	48.5	
12	13	26.5	45.5	
12	14	26	45.5	
12	15	0	0	
12	16	0	0	
12	17	0	0	
12	18	0	0	
12	19	0	0	
12	20	0	0	
12	21	0	0	
12	22	0	0	
12	23	0	0	
12	24	0	0	
13	0	0	0	
13	1	46.5	80.5	
13	2	43.5	78.5	
13	3	41.5	74.5	
13	4	38.5	70.5	
13	5	36.5	65.5	
13	6	34.5	61.5	
13	7	32.5	58.5	
13	8	30.5	55.5	
13	9	28.5	52.5	
13	10	27.5	49.5	
13	11	25.5	47.5	
13	12	24.5	44.5	
13	13	23.5	42.5	
13	14	23	42.5	
13	15	0	0	
13	16	0	0	
13	17	0	0	
13	18	0	0	
13	19	0	0	
13	20	0	0	
13	21	0	0	
13	22	0	0	
13	23	0	0	
13	24	0	0	
14	0	0	0	
14	1	109.5	137.5	
14	2	99.5	132.5	
14	3	90.5	122.5	
14	4	84.5	113.5	
14	5	77.5	103.5	
14	6	73.5	95.5	
14	7	66.5	87.5	
14	8	63.5	82.5	
14	9	60	82.5	
14	10	57.5	76.5	
14	11	50.5	68.5	
14	12	50	68.5	
14	13	0	0	
14	14	0	0	
14	15	0	0	
14	16	0	0	
14	17	0	0	
14	18	0	0	
14	19	0	0	
14	20	0	0	
14	21	0	0	
14	22	0	0	
14	23	0	0	
14	24	0	0	
15	0	0	0	
15	1	103.5	128.5	
15	2	90.5	128.5	
15	3	82.5	118.5	
15	4	76.5	109.5	
15	5	70.5	100.5	
15	6	65.5	94.5	
15	7	63.5	87.5	
15	8	59.5	82.5	
15	9	53.5	75.5	
15	10	50	75.5	
15	11	0	0	
15	12	0	0	
15	13	0	0	
15	14	0	0	
15	15	0	0	
15	16	0	0	
15	17	0	0	
15	18	0	0	
15	19	0	0	
15	20	0	0	
15	21	0	0	
15	22	0	0	
15	23	0	0	
15	24	0	0	
16	0	0	0	
16	1	90.5	123.5	
16	2	81.5	121.5	
16	3	74.5	111.5	
16	4	68.5	103.5	
16	5	62.5	95.5	
16	6	58.5	89.5	
16	7	54.5	83.5	
16	8	50.5	78.5	
16	9	46.5	72.5	
16	10	44.5	68.5	
16	11	44.5	63.5	
16	12	40.5	59.5	
16	13	40	59.5	
16	14	0	0	
16	15	0	0	
16	16	0	0	
16	17	0	0	
16	18	0	0	
16	19	0	0	
16	20	0	0	
16	21	0	0	
16	22	0	0	
16	23	0	0	
16	24	0	0	
17	0	0	0	
17	1	0	0	
17	2	0	0	
17	3	0	0	
17	4	0	0	
17	5	0	0	
17	6	0	0	
17	7	0	0	
17	8	0	0	
17	9	0	0	
17	10	0	0	
17	11	0	0	
17	12	0	0	
17	13	0	0	
17	14	0	0	
17	15	0	0	
17	16	0	0	
17	17	0	0	
17	18	0	0	
17	19	0	0	
17	20	0	0	
17	21	0	0	
17	22	0	0	
17	23	0	0	
17	24	0	0	
18	0	0	0	
18	1	0	0	
18	2	0	0	
18	3	0	0	
18	4	0	0	
18	5	0	0	
18	6	0	0	
18	7	0	0	
18	8	0	0	
18	9	0	0	
18	10	0	0	
18	11	0	0	
18	12	0	0	
18	13	0	0	
18	14	0	0	
18	15	0	0	
18	16	0	0	
18	17	0	0	
18	18	0	0	
18	19	0	0	
18	20	0	0	
18	21	0	0	
18	22	0	0	
18	23	0	0	
18	24	0	0	
19	0	0	0	
19	1	0	0	
19	2	0	0	
19	3	0	0	
19	4	0	0	
19	5	0	0	
19	6	0	0	
19	7	0	0	
19	8	0	0	
19	9	0	0	
19	10	0	0	
19	11	0	0	
19	12	0	0	
19	13	0	0	
19	14	0	0	
19	15	0	0	
19	16	0	0	
19	17	0	0	
19	18	0	0	
19	19	0	0	
19	20	0	0	
19	21	0	0	
19	22	0	0	
19	23	0	0	
19	24	0	0	
20	0	0	0	
20	1	0	0	
20	2	0	0	
20	3	0	0	
20	4	0	0	
20	5	0	0	
20	6	0	0	
20	7	0	0	
20	8	0	0	
20	9	0	0	
20	10	0	0	
20	11	0	0	
20	12	0	0	
20	13	0	0	
20	14	0	0	
20	15	0	0	
20	16	0	0	
20	17	0	0	
20	18	0	0	
20	19	0	0	
20	20	0	0	
20	21	0	0	
20	22	0	0	
20	23	0	0	
20	24	0	0	
21	0	0	0	
21	1	0	0	
21	2	0	0	
21	3	0	0	
21	4	0	0	
21	5	0	0	
21	6	0	0	
21	7	0	0	
21	8	0	0	
21	9	0	0	
21	10	0	0	
21	11	0	0	
21	12	0	0	
21	13	0	0	
21	14	0	0	
21	15	0	0	
21	16	0	0	
21	17	0	0	
21	18	0	0	
21	19	0	0	
21	20	0	0	
21	21	0	0	
21	22	0	0	
21	23	0	0	
21	24	0	0	
22	0	0	0	
22	1	0	0	
22	2	0	0	
22	3	0	0	
22	4	0	0	
22	5	0	0	
22	6	0	0	
22	7	0	0	
22	8	0	0	
22	9	0	0	
22	10	0	0	
22	11	0	0	
22	12	0	0	
22	13	0	0	
22	14	0	0	
22	15	0	0	
22	16	0	0	
22	17	0	0	
22	18	0	0	
22	19	0	0	
22	20	0	0	
22	21	0	0	
22	22	0	0	
22	23	0	0	
22	24	0	0	
23	0	0	0	
23	1	0	0	
23	2	0	0	
23	3	0	0	
23	4	0	0	
23	5	0	0	
23	6	0	0	
23	7	0	0	
23	8	0	0	
23	9	0	0	
23	10	0	0	
23	11	0	0	
23	12	0	0	
23	13	0	0	
23	14	0	0	
23	15	0	0	
23	16	0	0	
23	17	0	0	
23	18	0	0	
23	19	0	0	
23	20	0	0	
23	21	0	0	
23	22	0	0	
23	23	0	0	
23	24	0	0	
24	0	0	0	
24	1	27.5	72.5	
24	2	25.5	68.5	
24	3	20.5	65.5	
24	4	18.5	60.5	
24	5	21.5	55.5	
24	6	15.5	47.5	
24	7	13.5	43.5	
24	8	13.5	35.5	
24	9	12.5	37.5	
24	10	12.5	29.5	
24	11	9.5	27.5	
24	12	9	27.5	
24	13	0	0	
24	14	0	0	
24	15	0	0	
24	16	0	0	
24	17	0	0	
24	18	0	0	
24	19	0	0	
24	20	0	0	
24	21	0	0	
24	22	0	0	
24	23	0	0	
24	24	0	0	
25	0	0	0	
25	1	58.5	111.5	
25	2	46.5	105.5	
25	3	40.5	94.5	
25	4	37.5	86.5	
25	5	33.5	78.5	
25	6	29.5	73.5	
25	7	27.5	66.5	
25	8	25.5	63.5	
25	9	22.5	58.5	
25	10	21.5	51.5	
25	11	20.5	50.5	
25	12	18.5	47.5	
25	13	18.5	37.5	
25	14	18	37.5	
25	15	0	0	
25	16	0	0	
25	17	0	0	
25	18	0	0	
25	19	0	0	
25	20	0	0	
25	21	0	0	
25	22	0	0	
25	23	0	0	
25	24	0	0	
26	0	0	0	
26	1	46.5	90.5	
26	2	35.5	89.5	
26	3	30.5	81.5	
26	4	29.5	75.5	
26	5	26.5	68.5	
26	6	25.5	64.5	
26	7	22.5	59.5	
26	8	20.5	55.5	
26	9	19.5	50.5	
26	10	18.5	46.5	
26	11	16.5	44.5	
26	12	16.5	40.5	
26	13	16.5	39.5	
26	14	16	39.5	
26	15	0	0	
26	16	0	0	
26	17	0	0	
26	18	0	0	
26	19	0	0	
26	20	0	0	
26	21	0	0	
26	22	0	0	
26	23	0	0	
26	24	0	0	
27	0	0	0	
27	1	35.5	74.5	
27	2	29.5	73.5	
27	3	26.5	69.5	
27	4	23.5	63.5	
27	5	22.5	60.5	
27	6	20.5	54.5	
27	7	17.5	51.5	
27	8	16.5	49.5	
27	9	15.5	45.5	
27	10	15.5	42.5	
27	11	14.5	40.5	
27	12	13.5	36.5	
27	13	13	36.5	
27	14	0	0	
27	15	0	0	
27	16	0	0	
27	17	0	0	
27	18	0	0	
27	19	0	0	
27	20	0	0	
27	21	0	0	
27	22	0	0	
27	23	0	0	
27	24	0	0	
28	0	0	0	
28	1	0	0	
28	2	107.5	130.5	
28	3	91.5	128.5	
28	4	83.5	112.5	
28	5	80.5	105.5	
28	6	70	105.5	
28	7	65.5	86.5	
28	8	59.5	80.5	
28	9	59	80.5	
28	10	0	0	
28	11	0	0	
28	12	0	0	
28	13	0	0	
28	14	0	0	
28	15	0	0	
28	16	0	0	
28	17	0	0	
28	18	0	0	
28	19	0	0	
28	20	0	0	
28	21	0	0	
28	22	0	0	
28	23	0	0	
28	24	0	0	
29	0	0	0	
29	1	0	0	
29	2	0	0	
29	3	0	0	
29	4	0	0	
29	5	0	0	
29	6	0	0	
29	7	0	0	
29	8	0	0	
29	9	0	0	
29	10	0	0	
29	11	0	0	
29	12	0	0	
29	13	0	0	
29	14	0	0	
29	15	0	0	
29	16	0	0	
29	17	0	0	
29	18	0	0	
29	19	0	0	
29	20	0	0	
29	21	0	0	
29	22	0	0	
29	23	0	0	
29	24	0	0	
30	0	0	0	
30	1	93.5	135.5	
30	2	79.5	129.5	
30	3	70.5	117.5	
30	4	61.5	104.5	
30	5	54.5	95.5	
30	6	49.5	87.5	
30	7	42.5	79.5	
30	8	40.5	74.5	
30	9	40.5	70.5	
