0.010	0.39623
0.011	0.43535
0.012	0.47466
0.013	0.51415
0.014	0.55379
0.015	0.59356
0.016	0.63343
0.017	0.67339
0.018	0.71342
0.020	0.79366
0.023	0.8941
0.025	0.99451
0.028	1.09
0.030	1.19
0.033	1.29
0.035	1.39
0.038	1.49
0.040	1.59
0.045	1.78
0.050	1.97
0.055	2.16
0.060	2.34
0.065	2.53
0.070	2.71
0.080	3.07
0.090	3.43
0.100	3.79
0.110	4.15
0.120	4.51
0.130	4.86
0.140	5.21
0.150	5.55
0.160	5.9
0.170	6.23
0.180	6.57
0.200	7.22
0.225	8
0.250	8.74
0.275	9.46
0.300	10.14
0.325	10.8
0.350	11.43
0.375	12.03
0.400	12.61
0.450	13.71
0.500	14.73
0.550	15.69
0.600	16.59
0.650	17.45
0.700	18.26
0.800	19.78
0.900	21.18
1.000	22.48
1.100	23.7
1.200	24.86
1.300	25.97
1.400	27.04
1.500	28.07
1.600	29.06
1.700	30.03
1.800	30.97
2.000	32.81
2.250	35.01
2.500	37.14
2.750	39.21
3.000	41.25
3.250	43.25
3.500	45.23
3.750	47.19
4.000	49.14
4.500	53.02
5.000	56.89
5.500	60.75
6.000	64.62
6.500	68.51
7.000	72.43
8.000	80.34
9.000	88.39
10.000	96.58
11.000	104.93
12.000	113.44
13.000	122.13
14.000	130.99
15.000	140.04
16.000	149.28
17.000	158.71
18.000	168.33
20.000	188.17
22.500	214.12
25.000	241.37
27.500	269.94
30.000	299.77
32.500	330.89
35.000	363.44
37.500	397.36
40.000	432.61
45.000	507.02
50.000	586.69
55.000	671.61
60.000	761.75
65.000	857.09
70.000	957.6
80.000	1170
90.000	1410
100.000	1670
