0.010	1.620
0.011	1.770
0.012	1.920
0.013	2.060
0.014	2.200
0.015	2.340
0.016	2.480
0.017	2.620
0.018	2.750
0.020	3.010
0.023	3.320
0.025	3.610
0.028	3.900
0.030	4.180
0.033	4.450
0.035	4.710
0.038	4.960
0.040	5.210
0.045	5.680
0.050	6.130
0.055	6.560
0.060	6.970
0.065	7.370
0.070	7.760
0.080	8.490
0.090	9.190
0.100	9.850
0.110	10.490
0.120	11.100
0.130	11.690
0.140	12.260
0.150	12.820
0.160	13.350
0.170	13.880
0.180	14.390
0.200	15.370
0.225	16.550
0.250	17.660
0.275	18.730
0.300	19.750
0.325	20.750
0.350	21.710
0.375	22.660
0.400	23.580
0.450	25.380
0.500	27.140
0.550	28.860
0.600	30.570
0.650	32.270
0.700	33.960
0.800	37.380
0.900	40.840
1.000	44.380
1.100	48.000
1.200	51.740
1.300	55.590
1.400	59.550
1.500	63.650
1.600	67.880
1.700	72.230
1.800	76.730
2.000	86.130
2.250	98.650
2.500	112.050
2.750	126.310
3.000	141.420
3.250	157.400
3.500	174.210
3.750	191.860
4.000	210.340
4.500	249.730
5.000	292.360
5.500	338.170
6.000	387.120
6.500	439.180
7.000	494.300
8.000	613.510
9.000	744.360
10.000	886.950
11.000	1040.000
12.000	1210.000
13.000	1380.000
14.000	1570.000
15.000	1770.000
16.000	1980.000
17.000	2200.000
18.000	2430.000
20.000	2920.000
22.500	3580.000
25.000	4310.000
27.500	5110.000
30.000	5960.000
32.500	6870.000
35.000	7840.000
37.500	8870.000
40.000	9950.000
45.000	12290.000
50.000	14850.000
