1.68    1003.14 0.248005        574.131
1.69    1032.44 0.245775        585.451
1.7     1062.03 0.244015        596.265
1.71    1092.96 0.240639        607.46
1.72    1123.97 0.23889 620.015
1.73    1155.19 0.237556        632.401
1.74    1187.59 0.234762        644.998
1.75    1219.58 0.235348        657.451
1.76    1252.73 0.233048        671.332
1.77    1287.21 0.23086 684.619
1.78    1322.08 0.228369        699.189
1.79    1356.09 0.229209        711.414
1.8     1393.08 0.225305        725.268
1.81    1428.44 0.225618        738.805
1.82    1466.44 0.22243 754.31
1.83    1504.18 0.220936        767.299
1.84    1542.27 0.220491        780.881
1.85    1580.78 0.219759        793.14
1.86    1621.78 0.216235        806.999
1.87    1662.63 0.213778        820.618
1.88    1704.57 0.211688        833.756
1.89    1746.67 0.209848        846.428
1.9     1789.34 0.20867 861.295
1.91    1832.9  0.207009        877.36
1.92    1877.07 0.205969        893.51
1.93    1920.48 0.206361        909.468
1.94    1965.5  0.205647        926.495
1.95    2012.13 0.203601        943.239
1.96    2058.76 0.202402        960.506
1.97    2105.87 0.202032        976.316
1.98    2154.76 0.199098        992.343
1.99    2203.36 0.199183        1007.84
2       2253.27 0.197463        1024.39
2.01    2303.78 0.196278        1040.4
2.02    2356.01 0.194099        1058.9
2.03    2407.34 0.193932        1074.39
2.04    2459.85 0.192852        1091.02
2.05    2513.37 0.192539        1107.67
2.06    2568.58 0.189611        1125.75
2.07    2623.55 0.189057        1142.05
2.08    2680    0.187702        1158.31
2.09    2736.81 0.186699        1174.27
2.1     2794.9  0.184902        1192.06
2.11    2853.97 0.183418        1209.52
2.12    2912.55 0.182991        1226.73
2.13    2972.35 0.181853        1245.04
2.14    3033.6  0.180824        1265.02
2.15    3095.11 0.179748        1285.8
2.16    3156.74 0.179666        1306.86
2.17    3219.61 0.179213        1327.9
2.18    3282.74 0.178637        1348.43
2.19    3347.32 0.178615        1369.74
2.2     3412.7  0.177143        1390.51
2.21    3479.76 0.175718        1411
2.22    3547.21 0.175011        1433.45
2.23    3614.79 0.174343        1453.45
2.24    3684.4  0.173239        1474.45
2.25    3752.34 0.174438        1495.72
2.26    3823.54 0.172472        1518.48
2.27    3895.78 0.171376        1541.49
